Index,Population,Group,Descriptor_1,Descriptor_2,Table
344,725000,0,NoGifts,FALSE,Characteristics_cluster_4
345,64000,1,NoGifts,FALSE,Characteristics_cluster_4
346,34000,2,NoGifts,FALSE,Characteristics_cluster_4
347,10000,3,NoGifts,TRUE,Characteristics_cluster_4
348,13000,1,NoGifts,TRUE,Characteristics_cluster_4
349,63000,4,NoGifts,FALSE,Characteristics_cluster_4
350,21000,5,NoGifts,FALSE,Characteristics_cluster_4
351,110000,3,NoGifts,FALSE,Characteristics_cluster_4
352,S,1,NoGifts,,Characteristics_cluster_4
353,4000,4,NoGifts,TRUE,Characteristics_cluster_4
354,30000,6,NoGifts,FALSE,Characteristics_cluster_4
355,35000,0,NoGifts,,Characteristics_cluster_4
356,9000,2,NoGifts,TRUE,Characteristics_cluster_4
357,12000,0,NoGifts,TRUE,Characteristics_cluster_4
358,5000,5,NoGifts,TRUE,Characteristics_cluster_4
359,5000,6,NoGifts,TRUE,Characteristics_cluster_4
360,S,4,NoGifts,,Characteristics_cluster_4
361,S,6,NoGifts,,Characteristics_cluster_4
362,S,2,NoGifts,,Characteristics_cluster_4
363,S,3,NoGifts,,Characteristics_cluster_4
364,S,5,NoGifts,,Characteristics_cluster_4
1,772000,0,All,All,Characteristics_cluster_1
2,103000,1,All,All,Characteristics_cluster_1
3,80000,2,All,All,Characteristics_cluster_1
4,61000,3,All,All,Characteristics_cluster_1
5,136000,4,All,All,Characteristics_cluster_1
1515,772000,0,All,All,Characteristics_cluster_2
1516,50000,1,All,All,Characteristics_cluster_2
1517,49000,2,All,All,Characteristics_cluster_2
1518,33000,3,All,All,Characteristics_cluster_2
1519,120000,4,All,All,Characteristics_cluster_2
1520,53000,5,All,All,Characteristics_cluster_2
1521,75000,6,All,All,Characteristics_cluster_2
3616,772000,0,All,All,Characteristics_cluster_3
3617,50000,1,All,All,Characteristics_cluster_3
3618,46000,2,All,All,Characteristics_cluster_3
3619,33000,3,All,All,Characteristics_cluster_3
3620,53000,4,All,All,Characteristics_cluster_3
3621,43000,5,All,All,Characteristics_cluster_3
3622,75000,6,All,All,Characteristics_cluster_3
3623,80000,7,All,All,Characteristics_cluster_3
5968,772000,0,All,All,Characteristics_cluster_4
5969,79000,1,All,All,Characteristics_cluster_4
5970,44000,2,All,All,Characteristics_cluster_4
5971,122000,3,All,All,Characteristics_cluster_4
5972,71000,4,All,All,Characteristics_cluster_4
5973,27000,5,All,All,Characteristics_cluster_4
5974,37000,6,All,All,Characteristics_cluster_4
